AU06_r,AU12_r
0.543451985745614,0.6212829418859649
1.5872475038461542,2.550494615384616
1.571396596736597,0.9370605337995339
0.4246315976608187,0.1129698700432763
0.7021516748844376,1.1067628582434512
1.17175746627566,1.9845510850439885
2.9812900000000004,3.3161541584158414
1.4022941509433964,0.2877885772955973
1.188899052539405,1.3848335201401056
1.0404489597423514,0.7633095668276972
2.3956077500000017,2.4005155625000003
0.0643496878313552,0.3668061868566904
0.8783558970358812,0.18048198748986
0.09137759228434605,0.7403578200212992
0.5925096106250001,1.6651457187500003
2.0927012643678164,3.1738174712643685
0.019348858689878567,0.025329281493160938
1.8201352941176476,1.693098235294117
0.20417407892193357,1.1756924628252787
