k,features,bic
1,AU12_r,2831398.349098425
2,AU12_r,476797.28512928565
3,AU12_r,171775.30311956708
4,AU12_r,73772.4349504685
5,AU12_r,19332.093824886477
6,AU12_r,-8322.636050224995
7,AU12_r,-22264.524589593104
