k,features,sil score,CH score
9,AU26_r,0.624316032222,7880261.67615
10,AU26_r,0.623732444427,8663829.35147
11,AU26_r,0.623570664411,9443634.12856
12,AU26_r,0.622151885766,10202999.9952
13,AU26_r,0.621805315672,10998740.2618
14,AU26_r,0.621082528508,11768207.127
15,AU26_r,0.622145574242,12569808.4519
2,AU45_r,0.750376528952,2831895.50386
3,AU45_r,0.719411165276,3597025.73948
4,AU45_r,0.713477603159,4409877.33856
5,AU45_r,0.709718334089,5285528.82853
6,AU45_r,0.709205233346,6194493.45685
7,AU45_r,0.709689022243,7183094.38351
8,AU45_r,0.708178684441,8088628.50151
9,AU45_r,0.70806497033,8966576.14125
10,AU45_r,0.707189184953,9720771.32822
11,AU45_r,0.705700962292,10547083.3075
12,AU45_r,0.706839152691,11323016.7595
13,AU45_r,0.704408427528,12339018.7005
14,AU45_r,0.704948494307,13213079.131
15,AU45_r,0.706509902391,14126634.3545
2,AU01_r_AU02_r,0.768803577935,1906149.36451
3,AU01_r_AU02_r,0.696133109735,2038601.77899
4,AU01_r_AU02_r,0.669337276933,2021966.60061
5,AU01_r_AU02_r,0.643911243468,1926959.99297
6,AU01_r_AU02_r,0.650846380981,1895050.01317
7,AU01_r_AU02_r,0.639910169708,1885781.9408
8,AU01_r_AU02_r,0.650323070646,1885625.46839
9,AU01_r_AU02_r,0.63304401009,1876887.22813
10,AU01_r_AU02_r,0.646077106935,1859942.97272
11,AU01_r_AU02_r,0.634199050896,1850966.44032
12,AU01_r_AU02_r,0.629650102861,1834839.93523
13,AU01_r_AU02_r,0.631643852239,1818420.52153
14,AU01_r_AU02_r,0.62937079759,1820891.47693
15,AU01_r_AU02_r,0.625378118736,1822371.67952
2,AU01_r_AU05_r,0.731768186462,1518880.58886
3,AU01_r_AU05_r,0.648410293086,1380900.28484
4,AU01_r_AU05_r,0.676158212931,1575732.80927
5,AU01_r_AU05_r,0.6482447021,1626339.9073
6,AU01_r_AU05_r,0.65889239229,1616599.58971
7,AU01_r_AU05_r,0.641125432583,1692334.65562
8,AU01_r_AU05_r,0.6470099638,1693656.44601
9,AU01_r_AU05_r,0.634232735448,1731046.52872
10,AU01_r_AU05_r,0.639551604068,1747891.09942
11,AU01_r_AU05_r,0.626278908936,1773831.48395
12,AU01_r_AU05_r,0.63185936821,1817927.01303
13,AU01_r_AU05_r,0.621636985897,1830966.48712
14,AU01_r_AU05_r,0.626219409783,1838370.23896
15,AU01_r_AU05_r,0.630095911026,1858364.9645
2,AU01_r_AU06_r,0.474192313554,934770.682724
3,AU01_r_AU06_r,0.528975338918,1298523.11291
4,AU01_r_AU06_r,0.476056469536,1319513.56709
5,AU01_r_AU06_r,0.485672990687,1377807.19094
6,AU01_r_AU06_r,0.462336629051,1390859.30156
7,AU01_r_AU06_r,0.47843301857,1427295.54452
8,AU01_r_AU06_r,0.477122201906,1461764.70376
9,AU01_r_AU06_r,0.461605999064,1472570.57591
10,AU01_r_AU06_r,0.469357172134,1492551.97014
11,AU01_r_AU06_r,0.46613457414,1512321.3126
12,AU01_r_AU06_r,0.459801209794,1531874.39669
13,AU01_r_AU06_r,0.467981674167,1549375.99262
14,AU01_r_AU06_r,0.470392205214,1561599.22221
15,AU01_r_AU06_r,0.465933433357,1572854.70852
2,AU01_r_AU07_r,0.51020202761,1246418.70434
3,AU01_r_AU07_r,0.543503480822,1359325.38907
4,AU01_r_AU07_r,0.494191235254,1465143.5482
5,AU01_r_AU07_r,0.492398410815,1445465.95298
6,AU01_r_AU07_r,0.47243287304,1458642.13253
7,AU01_r_AU07_r,0.486590304757,1485713.82325
8,AU01_r_AU07_r,0.482744895359,1480133.89229
9,AU01_r_AU07_r,0.468614631423,1507048.3427
10,AU01_r_AU07_r,0.478658709246,1536454.60022
11,AU01_r_AU07_r,0.463028550869,1533204.54994
12,AU01_r_AU07_r,0.463757849309,1543590.71426
13,AU01_r_AU07_r,0.47100244535,1572501.66994
14,AU01_r_AU07_r,0.474874690285,1575326.38537
15,AU01_r_AU07_r,0.46564562886,1591153.62082
